"Lokalitet";"habitat";"ano_flate_id";"ano_punkt_id";"combi";"Lat";"lon";"method";"sample";"sampling_scheme";"extraction_method";"sample_weight";"seq_depth";"variable";"species";"value"
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"maureslekta_galium_sp.";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"snøsøte_gentiana_nivalis";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"storkenebbslekta_geranium_sp.";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"skogstorkenebb_geranium_sylvaticum";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"enghumleblom_geum_rivale";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"setergråurt_gnaphalium_norvegicum";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"fugletelg_gymnocarpium_dryopteris";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"blåveis_hepatica_nobilis";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"skjermsveve_hieracium_umbellatum";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"perikumslekta_hypericum_sp.";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"trådsiv_juncus_filiformis";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"einer_juniperus_communis";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"rødknapp_knautia_arvensis";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"knollerteknapp_lathyrus_linifolius";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"gullflatbelg_lathyrus_pratensis";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"lintorskemunn_linaria_vulgaris";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"linnea_linnaea_borealis";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"bakkefrytle_luzula_multiflora";0
